title,link,summary,category
Justin Bieber Makes Surprise Appearance at Don Toliver's Rolling Loud Gig,https://www.rollingstone.com/music/music-news/justin-bieber-don-toliver-rolling-loud-1234691122/,"Singer performs ""Private Landing"" with Toliver just days after canceling the postponed Justice World Tour",Biebz Back Onstage
Watch Lil Uzi Vert Get Slimed at the Nickelodeon Kids Choice Awards,https://www.rollingstone.com/music/music-news/lil-uzi-vert-slime-nickelodeon-kids-choice-awards-1234691106/,Lil Baby and Bebe Rexha also deliver slime-free performances at the kid-friendly award show,Slime Time
Kelsea Ballerini Drops New Divorce-Inspired Lyrics in Smashing SNL Debut,https://www.rollingstone.com/music/music-news/kelsea-ballerini-snl-debut-divorce-lyrics-blindsided-penthouse-rolling-up-the-welcome-mat-1234690701/,Singer-songwriter performed new music from herRolling Up the Welcome MatEP,SOARING
"Watch Phoebe Bridgers, Cardi B Join SZA for Madison Square Garden Performance",https://www.rollingstone.com/music/music-news/sza-phoebe-bridgers-cardi-b-madison-square-garden-performance-watch-1234691046/,SZA and Bridgers performed “Ghost in the Machine” for first time live on Saturday,SZA @ MSG
SST Records Producer Glen ‘Spot’ Lockett Dead at 72,https://www.rollingstone.com/music/music-news/glen-spot-lockett-sst-records-producer-dead-obit-1234691019/,"Musician, engineer, photographer, and writer helmed records by Black Flag, Minutemen, and Descendents",Obituary
Glastonbury Co-Organizer Promises Female Headliners in 2024 After All-Male Top Billing This Year,https://www.rollingstone.com/music/music-news/glastonbury-co-organizer-promises-female-headliners-2024-1234690964/,Lana Del Rey expresses disappointment after festival's marketing downplays her Other Stage appearance,'We'll See'
See the Beths Deliver Refreshing 'Expert in a Dying Field' Mini-Set on 'CBS Mornings',https://www.rollingstone.com/music/music-news/the-beths-cbs-mornings-saturday-sessions-1234690867/,"The on-tour New Zealand indie-pop band perform their latest album's title track, ""Your Side"" and ""When You Know You Know""",Saturday Sessions
The National Stay Up Late to Perform 'Tropic Morning News' on Fallon,https://www.rollingstone.com/music/music-news/the-national-tropic-morning-news-tonight-show-jimmy-fallon-1234690840/,The song is the band's lead single from their upcoming albumFirst Two Pages of Frankenstein,Late Night Jams
"David Lindley, Multi-Instrumentalist Who Shaped the Sound of Soft Rock, Dead at 78",https://www.rollingstone.com/music/music-news/david-lindley-dead-obituary-1234690754/,"Lindley collaborated with the likes of Jackson Browne, Dolly Parton, Bob Dylan, Bruce Springsteen, Toto, Rod Stewart, and Joe Walsh",Obituary
Suki Waterhouse Won't Take Romance for Granted on New Single 'To Love',https://www.rollingstone.com/music/music-news/suki-waterhouse-new-song-to-love-1234690705/,"""It is a very distinct portrait of my heart right now that I wanted to share,” the British musician shared in a statement",How Lucky We Are
