artist,popularity,followers,genres,number_of_articles,positive_articles,negative_articles,average_sentiment_score
jason isbell,53,438359,"alternative country,folk,new americana,roots rock",12,11,1,0.4354166666666666
dave cobb,0,20,,2,1,1,0.16818181818181815
omar apollo,70,1063487,"bedroom pop,bedroom soul",9,7,0,0.349263468013468
modest mouse,64,1504559,"alternative rock,chamber pop,indie rock,indietronica,modern rock,washington indie",5,2,3,-0.02351190476190477
little mix,75,12097344,"girl group,pop,talent show,uk pop",2,0,2,-0.08443587662337662
rudolph,1,63,,2,1,1,0.049080086580086585
harry fraud,58,55568,"boom bap,instrumental hip hop",1,0,1,-0.03333333333333333
quinnie,53,137476,"bedroom pop,indie pop",1,0,0,0.0
tarantino,7,775,,1,0,0,0.0
charlie chaplin,38,26446,classic soundtrack,1,1,0,0.45
al jardine,22,4640,,2,2,0,0.4484848484848485
giveon,78,4217723,r&b,1,1,0,0.3181818181818182
lea michele,53,450528,"hollywood,post-teen pop,viral pop",2,1,0,0.06818181818181818
naomi wild,54,19216,indie electropop,1,1,0,0.1761904761904762
speaks,8,33,,1,1,0,0.5
skrillex,77,7651831,"brostep,complextro,edm,electro,pop dance",8,8,0,0.2655776515151515
c.m. talkington,1,113,,1,1,0,0.032467532467532464
david cross,29,39952,comedy,1,1,0,0.39583333333333337
verdict,21,406,,1,0,1,-0.1
bonnie tyler,70,2146616,"europop,new wave pop,soft rock",3,2,1,0.2647474747474748
peter murphy,46,243874,"gothic rock,new romantic,new wave,solo wave,synthpop",1,1,0,1.0
greta gerwig,0,19,,2,2,0,0.5236111111111111
bruiser wolf,35,11080,experimental hip hop,1,0,1,-0.07142857142857142
larsson,6,329,,1,1,0,0.25
rüfüs du sol,76,1890636,"australian electropop,indietronica",1,0,1,-0.2
jacob collier,62,844670,uk alternative pop,1,1,0,0.3261904761904762
russell simmons,3,683,,4,4,0,0.3337121212121212
jean-michel jarre,55,620935,"laboratorio,synthesizer,vintage french electronic",1,0,0,0.0
jennifer lawrence,52,31806,,1,1,0,0.06666666666666667
alexandre desplat,65,331897,"french soundtrack,orchestral soundtrack,soundtrack",1,0,0,0.0
mimi parker,0,336,,4,1,2,-0.09375
robert trujillo,45,8542,,1,0,1,-0.04166666666666666
terrace martin,57,188820,"alternative r&b,indie soul",1,0,0,0.0
rosemary clooney,51,139475,"adult standards,easy listening,torch song,vocal jazz",1,1,0,0.29523809523809524
q lazzarus,47,40945,new romantic,1,1,0,0.24999999999999997
eddy grant,49,74996,"guyanese pop,uk reggae",1,1,0,0.03333333333333333
nate dogg,78,1756025,"g funk,gangster rap,hardcore hip hop,hip hop,west coast rap",1,0,0,0.0
jojo,64,2401672,"dance pop,pop,post-teen pop",1,1,0,0.3
del rey,1,271,american post-rock,7,4,1,0.30771103896103896
chloe cherry,4,11,,1,0,0,0.0
dave navarro,26,26237,,6,3,2,0.27004329004329003
bobby mcferrin,57,250151,a cappella,1,1,0,0.053571428571428575
yukihiro takahashi,35,77096,"japanese new wave,techno kayo",1,1,0,0.09999999999999999
greig nori,0,18,,1,1,0,0.21212121212121213
john c. reilly,43,12111,hollywood,2,1,0,0.5
kevin spacey,26,10631,,1,1,0,0.7111111111111111
shirley manson,21,5241,,1,1,0,0.125
randy meisner,22,17550,,1,0,1,-0.2
john lydon,25,18285,solo wave,6,3,0,0.04393939393939394
burna boy,80,10888270,"afrobeats,dancehall,nigerian hip hop,nigerian pop",15,11,3,0.2454978354978355
sky ferreira,56,614026,"candy pop,la indie,metropopolis,neo-synthpop",1,0,1,-0.6628787878787878
pretty lights,50,569827,"glitch hop,jazztronica,livetronica",1,1,0,0.25
victoria beckham,28,123630,europop,2,1,1,0.09999999999999999
lele pons,59,1715076,"latin pop,latin viral pop,viral pop",1,1,0,0.17857142857142858
gerry rafferty,62,375571,"art rock,classic rock,folk rock,mellow gold,soft rock",1,0,1,-0.1
dickey betts,33,69762,"country rock,southern rock",2,2,0,0.30587121212121204
gryffin,69,972949,"edm,pop dance",1,1,0,0.15238095238095237
karen o,51,187427,new jersey indie,5,4,0,0.41121212121212125
james gang,48,380427,"album rock,blues rock,classic rock,country rock,electric blues,folk rock,hard rock,mellow gold,proto-metal,southern rock",1,0,1,-0.16666666666666666
anitta,83,12821546,"funk pop,funk rj,pagode baiano,pop,pop nacional",7,6,0,0.26554834054834053
sufjan stevens,73,2129736,"art pop,baroque pop,chamber pop,indie pop,indie rock,singer-songwriter",2,2,0,0.3051948051948052
tom cruise,31,7105,hollywood,1,1,0,0.5
drew carey,2,108,,1,1,0,0.25
derrick carter,22,19369,"chicago house,deep house",1,1,0,0.35
jackson browne,62,1382004,"album rock,classic rock,country rock,folk,folk rock,heartland rock,mellow gold,piano rock,singer-songwriter,soft rock",2,2,0,0.40909090909090906
l.a. reid,39,682,,1,1,0,0.5
mark ronson,78,1154449,pop soul,10,9,0,0.25672272172272176
dennis quaid,20,4649,,1,1,0,0.36969696969696964
brandy,69,3792445,"contemporary r&b,dance pop,hip pop,r&b,urban contemporary",5,3,0,0.32222222222222224
peter tosh,56,1138769,"reggae,roots reggae",1,1,0,0.0222222222222222
kiss,74,9994155,"glam rock,hard rock,rock",1,1,0,0.016287878787878785
shabba ranks,50,185152,reggae fusion,1,0,0,0.0
yella beezy,51,1545523,"dfw rap,memphis hip hop,southern hip hop,trap",1,1,0,0.25
josh homme,40,54288,,7,6,1,0.292547928262214
alan menken,63,138563,"broadway,movie tunes,orchestral soundtrack",1,0,1,-0.051136363636363646
demarco,50,370630,"bongo flava,dancehall,jamaican dancehall,reggae fusion",1,1,0,0.19583333333333333
kirel,1,2,,1,1,0,0.06818181818181818
said,31,8698,gaming dubstep,4,2,0,0.37624458874458877
lil murda,0,604,,1,1,0,0.375
mac demarco,82,6788987,"edmonton indie,lo-fi indie,pov: indie,slacker rock",3,0,1,-0.007070707070707074
saul williams,41,64916,"alternative hip hop,conscious hip hop,industrial hip hop,lgbtq+ hip hop,slam poetry",1,1,0,0.3181818181818182
ralph macchio,0,320,,1,1,0,0.55
maya hawke,54,505681,indie pop,2,1,0,0.18928571428571428
wizard,38,18350,traprun,1,0,0,0.0
billy mcfarland,15,1120,irish country,1,1,0,0.35
robby krieger,24,8962,,1,1,0,0.4
eric dolphy,33,92061,"avant-garde jazz,bebop,contemporary post-bop,free jazz,jazz",2,1,1,0.47500000000000003
jerry lee lewis,59,944023,"piano rock,rock-and-roll,rockabilly",2,2,0,0.6041666666666666
doechii,77,815888,alternative r&b,6,4,0,0.1854256854256854
milli vanilli,68,469370,"freestyle,new jack swing,new wave pop",1,1,0,0.3454545454545454
anthony fantano,13,1009,,1,1,0,0.25
jay electronica,59,338234,"alternative hip hop,conscious hip hop,drumless hip hop,hip hop,psychedelic hip hop",1,1,0,0.3
zeds dead,62,616347,"brostep,canadian electronic,dubstep,edm,electro house,progressive electro house",1,1,0,0.15
art garfunkel,51,591299,"folk,folk rock,mellow gold,soft rock",1,1,0,0.007142857142857131
ella fitzgerald,76,2577207,"adult standards,jazz,jazz blues,soul,swing,vocal jazz",1,1,0,0.125
gabriel moses,20,82,,1,0,1,-0.11598484848484851
jungle,75,1567272,"indie soul,uk contemporary r&b",2,2,0,0.625
ray vaughn,51,78414,,1,0,0,0.0
fred armisen,28,2422,,3,1,0,0.13194444444444445
blount,5,549,,1,1,0,0.7
kevin kaarl,75,7767871,indie triste,1,1,0,0.25833333333333336
deana carter,53,543043,"country,country dawn,country road",1,1,0,0.4285714285714286
franz ferdinand,70,2755562,"alternative rock,dance rock,indie rock,modern rock,rock,scottish rock",1,1,0,1.6
mary jo,0,26,,1,1,0,0.15
talking heads,70,2603498,"alternative rock,art punk,dance rock,funk rock,new wave,permanent wave,post-punk,rock,zolo",1,1,0,0.3181818181818182
kate hudson,52,38489,hollywood,3,2,0,0.22888888888888892
colin meloy,23,18041,,1,1,0,0.13636363636363635
joyce manor,56,241031,"alternative emo,dreamo,emo,indie punk,lo-fi emo",1,1,0,0.05
dylan mulvaney,19,7141,,1,0,0,0.0
jimmy buffett,68,1181304,trop rock,13,6,3,0.09105477855477855
gottwald,1,2,,1,1,0,0.75
william the baddest,0,0,,1,1,0,0.55
erin rae,38,24352,"nashville americana,new americana",1,1,0,0.25
dragged out,15,3725,montana metal,1,0,1,-0.5
adonis,18,46849,,1,0,1,-0.07142857142857142
iron maiden,75,9528512,"alternative metal,hard rock,metal,nwobhm,rock",4,4,0,0.31325757575757573
billy idol,72,2134226,"album rock,classic rock,dance rock,hard rock,new romantic,new wave,new wave pop,rock,soft rock",7,5,2,0.13019480519480517
odell bunton jr.,32,1705,,1,1,0,0.16666666666666666
chris vrenna,27,5104,steampunk,1,1,0,0.3
earl sweatshirt,71,2310411,"alternative hip hop,drumless hip hop,experimental hip hop,hip hop,rap,underground hip hop",3,1,2,0.23148148148148148
josh allen,1,102,,1,0,0,0.0
natalie bergman,42,37113,,1,1,0,0.375
feist,60,781803,"art pop,canadian indie,canadian pop,chamber pop,indie pop,indie rock",1,1,0,0.18831168831168832
fuse,15,1758,alternative ccm,1,1,0,0.14242424242424243
van morrison,75,3344544,"classic rock,folk,folk rock,mellow gold,rock,singer-songwriter,soft rock",2,0,0,0.0
busta rhymes,73,2901239,"east coast hip hop,hardcore hip hop,hip hop,pop rap,rap",7,6,0,0.2625
nas,74,3987858,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",4,2,0,0.15568181818181817
lil durk,82,8311401,"chicago drill,chicago rap,drill,hip hop,pop rap,rap,trap",4,3,0,0.23733766233766235
chris head,0,7,,1,0,1,-0.2142857142857143
offset,80,4677391,"atl hip hop,hip hop,pop rap,rap,trap",1,0,1,-0.03333333333333335
abigail,19,9910,"black thrash,japanese black metal",1,0,1,-0.03571428571428571
adderall,3,358,chain punk,1,0,0,0.0
sammy hagar,51,976139,"album rock,classic rock,glam metal,hard rock,rock",9,6,1,0.19669612794612795
hackney diamonds,9,91,,1,1,0,0.925
chris cornell,60,2231855,"alternative metal,alternative rock,grunge,hard rock,post-grunge,rock",3,0,1,-0.025000000000000005
shooter jennings,45,191249,"classic texas country,outlaw country",1,0,1,-0.4
george michael,75,5114436,"new wave pop,soft rock",1,1,0,0.8
larry mullen jr.,15,164,,2,2,0,0.0909090909090909
beth gibbons,51,169428,"art pop,devon indie,solo wave,trip hop",1,0,1,-0.125
javelin,26,17438,,1,1,0,0.38068181818181823
jessie reyez,68,1441759,"canadian contemporary r&b,canadian pop",5,4,0,0.1871590909090909
olof dreijer,32,12010,"swedish experimental,swedish house",1,0,1,-0.21645021645021645
papa roach,74,5474642,"alternative metal,nu metal,rap metal,rap rock,rock",1,0,0,0.0
jamey johnson,62,800680,"country,country road,outlaw country",3,1,1,0.13333333333333333
brady watt,34,10267,,1,1,0,0.35497835497835495
bernard sumner,16,2043,,2,2,0,0.40941558441558445
andrew bird,59,610093,"baroque pop,chamber pop,chicago indie,indie rock,melancholia,stomp and holler",2,1,1,-0.012500000000000011
donald fagen,47,243236,"sophisti-pop,yacht rock",3,2,1,0.28106060606060607
babyface ray,65,336060,"detroit hip hop,detroit trap",1,1,0,0.15303030303030302
jay rock,72,1529892,"conscious hip hop,hip hop,rap,southern hip hop,trap",1,1,0,0.20952380952380953
maxwell,60,1710815,"contemporary r&b,neo soul,quiet storm,r&b,urban contemporary",1,1,0,0.4571428571428572
nick cannon,35,70712,,1,1,0,0.575
steven tyler,45,103010,modern country rock,5,3,1,0.15634199134199137
freya ridings,67,431239,uk pop,1,0,0,0.0
rob zombie,70,3223150,"alternative metal,hard rock,industrial metal,industrial rock,nu metal,post-grunge,rock",3,2,1,0.2833333333333333
justin paul,33,2848,,1,1,0,0.2
randall king,56,112198,"classic texas country,red dirt,texas country",1,1,0,0.5
simone ashley,5,49,,1,1,0,0.13636363636363635
k.k. downing,3,427,,1,1,0,0.11767676767676767
bing crosby,82,552270,"adult standards,easy listening,lounge,swing",2,2,0,0.3522727272727273
william orbit,47,60453,"classic progressive house,downtempo,intelligent dance music",1,0,0,0.0
john barbata,1,28,,1,0,1,-0.18571428571428572
gaga,24,6876,dark techno,11,6,3,0.2659500852682671
carpenters,74,3456623,"adult standards,mellow gold,soft rock",1,1,0,0.3
billy bragg,52,176480,"anti-folk,folk punk,permanent wave,singer-songwriter,uk americana",1,1,0,0.125
gambino,26,47,,2,0,2,-0.10151515151515153
gary glitter,49,47251,,1,0,0,0.0
sean paul,82,4953817,"dance pop,dancehall,pop,pop rap",4,3,0,0.2869318181818182
judas priest,67,4213320,"album rock,alternative metal,birmingham metal,glam metal,hard rock,metal,rock",8,5,2,0.13474747474747475
adrian belew,28,52627,"art rock,canterbury scene,jazz fusion,progressive rock,zolo",1,0,0,0.0
rick caruso,0,3,,1,1,0,0.17750000000000002
alan jackson,74,2955001,country,1,1,0,0.5
lakeith stanfield,17,10021,,1,1,0,0.2481818181818182
terry hunter,34,7322,soulful house,1,1,0,0.9363636363636364
glover,10,398,,1,1,0,0.28333333333333327
midnights,8,21,,4,3,1,0.13758116883116883
rob reiner,5,391,,1,0,0,0.0
james corden,57,17653,movie tunes,7,4,2,0.2444805194805195
sturgill simpson,66,931585,"alternative americana,kentucky roots,nashville singer-songwriter,new americana,outlaw country",3,2,0,0.25
hannah waddingham,32,6049,,1,0,1,-0.3333333333333333
dj jazzy jeff,41,107388,east coast hip hop,2,2,0,0.17159090909090907
carly rae jepsen,73,4975562,"canadian pop,dance pop,pop",1,0,0,0.0
walt disney,27,69942,,1,1,0,0.975
jill scott,59,1801501,"hip pop,neo soul,quiet storm,r&b,urban contemporary",1,1,0,0.13636363636363635
jason blum,7,45,,1,0,0,0.0
ron desantis,0,42,,1,1,0,0.3035714285714286
loverboy,56,932046,"album rock,classic canadian rock,classic rock,glam metal,hard rock,mellow gold,soft rock",1,1,0,0.45
ryan bingham,60,536169,"new americana,outlaw country",2,1,0,0.25
andy rourke,23,818,,1,1,0,0.13636363636363635
moon man,13,267,,2,2,0,1.1
mike birbiglia,42,65509,"clean comedy,comedy,deep comedy,new comedy",3,3,0,0.525
sky rompiendo,75,314803,"trap latino,urbano latino",2,1,0,0.022727272727272724
mick jagger,53,741696,"classic rock,dance rock",10,4,4,-0.027916666666666666
diageo,0,5,,3,2,1,0.22272727272727275
dave grohl,46,254952,"alternative rock,rock drums",27,17,6,0.10415664582331251
queen latifah,55,223570,"conscious hip hop,east coast hip hop,golden age hip hop,hip hop,new jersey rap",10,5,1,0.0443073593073593
ziggy marley,56,1249018,"reggae,roots reggae",1,1,0,0.04999999999999999
judah smith,40,1867,,1,1,0,0.25
rico nasty,64,1122494,"alternative r&b,trap queen",1,0,1,-0.125
blondshell,49,82552,"bubblegrunge,indie pop",1,1,0,0.25
flo rida,81,8741717,"dance pop,miami hip hop,pop,pop rap",3,2,0,0.3222222222222222
peggy sue,14,11164,brighton indie,1,0,1,-0.2
shea diamond,27,14967,transpop,1,1,0,0.13636363636363635
bootie brown,61,10286,,1,0,1,-0.10681818181818177
jessie ware,60,775126,"british soul,electropop,neo soul,pop soul,uk pop",3,2,0,0.19088203463203465
amy winehouse,80,9281886,"british soul,neo soul",3,0,3,-0.12870370370370368
bill walton,41,792,,3,2,1,0.20000000000000004
paul cauthen,64,180213,new americana,1,0,0,0.0
kevin young,17,209,deep southern trap,1,0,0,0.0
paul wall,65,859448,"chopped and screwed,crunk,dirty south rap,houston rap",1,0,0,0.0
legolas,0,19,,1,1,0,0.06818181818181818
angelon,0,0,,1,1,0,0.7363636363636363
risen,0,23,,1,0,1,-0.06363636363636366
gregg bissonette,33,4759,deep jazz fusion,1,0,1,-0.0625
rob moose,36,3414,bow pop,1,1,0,0.5931818181818181
rick rubin,28,8362,,5,4,1,0.03454545454545456
respond,0,24,,1,0,0,0.0
belanova,71,1767710,"latin arena pop,latin pop,mexican pop",1,0,0,0.0
dj clark kent,6,808,,1,0,1,-0.5
chino xl,2,1,,1,1,0,0.15
hootenanny,0,18,,1,0,0,0.0
hot snakes,36,51451,"indie punk,post-hardcore",1,1,0,0.075
quincy jones,62,399134,soul jazz,4,4,0,0.5702380952380952
ezra collective,61,284763,"british jazz,indie soul",1,1,0,0.1642857142857143
stephanie hsu,37,3151,show tunes,1,0,0,0.0
massive attack,69,2346800,"downtempo,electronica,trip hop",2,2,0,0.26666666666666666
gloria trevi,73,5691135,"latin arena pop,latin pop,mexican pop",4,2,0,0.21789772727272727
roberta flack,63,1018151,"adult standards,classic soul,disco,quiet storm,soft rock,soul,vocal jazz",1,1,0,0.14761904761904762
julia jacklin,55,307904,"chamber pop,countrygaze,indie pop,sydney indie",1,0,0,0.0
jin,86,8633020,k-pop,12,7,5,0.13940671596921597
cues,0,91,,1,1,0,0.032467532467532464
nancy wilson,55,226932,vocal jazz,4,3,0,0.31101190476190477
pusha t,73,2974589,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,virginia hip hop",2,2,0,0.6685606060606061
justin timberlake,83,14810454,"dance pop,pop",24,16,4,0.19138332732082733
simz,0,1,,3,0,3,-0.0662608225108225
amos lee,59,486432,"acoustic pop,neo mellow,stomp and holler",1,1,0,0.9600000000000001
bobby helms,77,59300,,1,1,0,0.08055555555555555
fixer,15,3472,"underground visual kei,visual kei",1,1,0,0.1
phil elverum,0,3,,1,0,1,-0.18181818181818182
kim porter,5,73,,1,0,1,-0.08333333333333333
tate mcrae,86,6357420,pop,6,3,2,0.09826839826839832
kellie pickler,45,910823,"contemporary country,country,country dawn,country road",1,1,0,0.175
joe budden,50,479182,"battle rap,new jersey rap",1,1,0,0.125
pink floyd,80,21243129,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",4,1,3,-0.009791666666666657
kevin abstract,54,754571,"afrofuturism,lgbtq+ hip hop",3,1,2,-0.08896103896103898
måneskin,80,9926174,"indie rock italiano,italian pop",2,2,0,0.6861742424242424
isaac hayes,51,719736,"classic soul,disco,funk,memphis soul,quiet storm,soul,southern soul",1,0,1,-0.05
mike love,44,182458,,2,2,0,0.4484848484848485
blake shelton,76,7313984,"classic oklahoma country,contemporary country,country,country road",7,3,2,0.00994382601525458
jim gordon,16,25,,1,0,1,-0.2
saucy santana,47,261950,trap queen,1,0,1,-0.35
john rzeznik,43,7658,,3,3,0,0.1910894660894661
rico wade,0,16,,2,0,1,-0.15
ron suno,46,219312,"bronx drill,new york drill",1,1,0,0.1
jenny lewis,46,199975,"alternative country,chamber pop,indie pop,lilith,new americana",3,0,1,-0.05555555555555555
kenia os,77,5722846,"latin viral pop,urbano mexicano",1,1,0,0.13636363636363635
lee hutson,0,15,,1,0,0,0.0
keyshia cole,71,4056005,"hip pop,r&b,urban contemporary",2,1,0,0.1
john denver,71,2327007,"classic country pop,folk,folk rock,mellow gold,singer-songwriter,soft rock",1,0,0,0.0
merkel,1,67,,1,1,0,0.05
maren morris,71,837482,"classic texas country,contemporary country",11,6,4,0.14904893086711268
jake e. lee,23,22521,glam metal,2,0,1,-0.08333333333333334
linkin park,93,27952596,"alternative metal,nu metal,post-grunge,rap metal,rock",1,1,0,0.6363636363636364
wayne kramer,19,3670,,3,3,0,0.5165404040404041
garth brooks,54,1312208,classic oklahoma country,3,2,1,0.25606060606060604
saiko,77,1470760,"trap latino,urbano espanol,urbano latino",1,1,0,0.1875
christine mcvie,39,74310,"rock keyboard,yacht rock",13,6,1,0.12667540792540793
burt bacharach,48,233568,"adult standards,brill building pop,easy listening,lounge",3,2,1,0.324810606060606
mark hoppus,43,13082,,3,3,0,0.2813131313131313
goodie mob,46,283512,"atl hip hop,conscious hip hop,dirty south rap,hardcore hip hop,old school atlanta hip hop,southern hip hop",1,0,1,-0.3
reggaeton,3,4740,,2,2,0,0.07651515151515158
nadie sabe,3,76,,2,1,1,-0.34999999999999987
guitarist,29,961,,7,3,4,0.19651360544217686
robert schneider,28,732,,1,1,0,0.5
beret,71,3094229,"spanish hip hop,spanish pop",1,1,0,0.061111111111111116
arcosanti,0,9,,1,1,0,0.3125
mike shinoda,67,586161,alternative hip hop,4,2,2,0.03939393939393939
jeymes samuel,33,8766,,3,1,0,0.08272727272727273
ruler,6,904,seattle indie,1,0,1,-0.43181818181818177
shane macgowan,36,48698,irish singer-songwriter,4,1,1,0.047979797979797977
talib kweli,55,616520,"conscious hip hop,east coast hip hop",2,1,0,0.06818181818181818
lydia night,24,772,,1,0,0,0.0
max martin,23,25885,,5,4,1,0.2554112554112554
tom waits,61,1409772,"folk,singer-songwriter",1,1,0,0.10064935064935064
jowan,9,94,,1,0,0,0.0
glorilla,83,1471301,southern hip hop,2,1,1,0.17817460317460318
kala bhairava,65,727962,tollywood,1,1,0,0.4027777777777778
joel osteen,5,23863,motivation,1,1,0,0.03750000000000003
fahad al kubaisi,29,38732,khaliji,1,0,1,-0.03896103896103896
mike greene,2,144,,2,1,1,0.14166666666666666
lisa,82,9932744,k-pop,11,8,1,0.21913616686343956
lola brooke,52,270708,trap queen,3,1,1,0.1363095238095238
mayhem,51,689345,"black metal,metal,norwegian black metal",1,1,0,0.35
irene cara,65,480609,"disco,new romantic,new wave pop,soft rock",1,1,0,0.11818181818181817
grey goose,0,59,,1,1,0,0.18333333333333332
adam driver,27,2257,,1,0,0,0.0
johnny blue skies,52,37533,,1,1,0,0.28019480519480516
ray charles,71,2413792,"adult standards,classic soul,jazz blues,piano blues,soul,soul blues,vocal jazz",1,1,0,0.1111111111111111
brian tyler,59,196267,"orchestral soundtrack,scorecore,soundtrack",1,0,1,-0.03896103896103896
marianne faithfull,53,207913,"british invasion,folk,singer-songwriter",1,1,0,0.38125
mersa,27,1506,,1,1,0,0.14069264069264065
dreamy,34,182,,2,1,1,0.0219381313131313
gottmik,20,3228,,1,1,0,0.2
chuck d,37,24336,"conscious hip hop,east coast hip hop,old school hip hop",5,2,0,0.2
tom skinner,24,8332,experimental jazz,2,2,0,0.27554112554112553
mary timony,23,10993,"boston rock,riot grrrl",1,0,1,-0.0341991341991342
anita ward,48,146107,disco,1,0,0,0.0
rob halford,50,114702,"hard rock,metal,speed metal",2,1,1,-0.0036616161616161644
malibu babie,30,4119,,1,0,0,0.0
jason alexander,30,563,movie tunes,1,0,1,-0.16666666666666666
melissa schuman,8,342,,3,3,0,0.3661616161616162
patrick bateman,19,96,,1,0,1,-0.3
amp fiddler,37,42036,"broken beat,indie jazz,neo r&b",1,1,0,0.3
harry belafonte,62,252727,calypso,1,1,0,0.6114583333333333
o2 arena,0,8,,2,1,0,0.078125
juvenile,59,1046188,"bounce,crunk,dirty south rap,new orleans rap,southern hip hop,trap",3,2,1,0.04815616482283149
joe walsh,55,1293789,"album rock,blues rock,classic rock,country rock,hard rock,heartland rock,mellow gold,rock,singer-songwriter,soft rock,southern rock",4,3,0,0.17403273809523812
damon albarn,49,389738,"downtempo,solo wave",2,1,1,0.07873376623376627
bianco,21,416,,1,1,0,0.09999999999999998
bobby digital,20,28580,,1,0,0,0.0
tanya tucker,58,696742,"country,country dawn,country road,outlaw country",2,1,1,0.3166666666666667
dad jokes,0,251,,1,0,1,-0.025568181818181823
deeper well,32,3632,christian lo-fi,1,1,0,0.13636363636363635
bolter,15,4282,classic disco polo,1,1,0,0.48636363636363633
hulu,0,0,,1,0,0,0.0
anita baker,57,1401095,"funk,neo soul,quiet storm,r&b,smooth jazz,soul,urban contemporary",2,1,1,0.041463744588744585
belle,50,222071,anime,1,0,1,-0.015151515151515152
handsome dancer,29,7444,,1,1,0,0.16666666666666666
samira wiley,0,2,,2,1,1,0.0925925925925926
vince gill,62,625719,"classic oklahoma country,country,country road",1,1,0,0.625
benedict cumberbatch,19,8720,,1,1,0,0.1
role model,68,501909,"alt z,bedroom pop,pov: indie",1,0,0,0.0
marty friedman,42,136719,"instrumental rock,shred",1,1,0,0.25
jesse malin,41,22074,alternative country,4,3,1,0.11856060606060607
nick rhodes,14,2432,,2,0,2,-0.12916666666666665
song,3,133,,20,13,4,0.19828102453102453
mike mills,7,127,,3,3,0,0.8111111111111112
slammer,8,68,,1,1,0,0.48125
myriam fares,49,1159131,"arab pop,lebanese pop",3,3,0,0.4666666666666666
brian johnson,51,65671,"ccm,deep ccm,world worship,worship",2,1,0,0.09659090909090909
benzino,28,15423,,1,0,1,-0.5
fletcher,66,963570,"alt z,pop",1,0,1,-0.09999999999999992
kerry king,40,61180,groove metal,1,1,0,0.2333333333333333
dillon francis,62,1142916,"brostep,edm,electro house,moombahton,pop dance,progressive electro house,slap house",1,1,0,0.6041666666666666
owen pallett,52,60115,chamber pop,1,1,0,0.06818181818181818
slimeroni,42,24038,,1,0,1,-0.3730639730639731
kurt cobain,54,980224,"acoustic rock,grunge",5,3,1,0.2206060606060606
crowley,16,5766,,1,0,1,-0.16666666666666666
sheila kennedy,0,0,,1,1,0,0.9621212121212122
r. kelly,69,2437162,,2,0,2,-0.37083333333333335
gavin adcock,70,241208,modern country pop,1,1,0,0.5
rick wills,0,3,,1,1,0,0.3
tee grizzley,72,3826865,"detroit hip hop,detroit trap,rap,southern hip hop,trap",1,0,1,-0.09426406926406927
whoopi goldberg,46,5491,,1,0,0,0.0
complete unknown,0,1,,1,0,1,-0.017045454545454572
stu mackenzie,0,380,,1,1,0,0.3181818181818182
sarah tudzin,16,237,,1,1,0,0.00746753246753247
pussy riot,42,131408,"riot grrrl,russian indie,russian punk",3,2,1,0.03116883116883117
alan sparhawk,34,7255,"duluth indie,melancholia",2,0,1,-0.05
roger waters,53,1530922,"album rock,art rock,classic rock,progressive rock,symphonic rock",14,4,8,-0.05718073593073593
peter pan,12,980,,2,1,1,0.4458333333333333
randy jackson,7,1261,,1,1,0,0.12878787878787878
trevor powers,11,8971,"glitch pop,idaho indie",1,0,1,-0.0025252525252525138
lesson,0,3,,2,2,0,0.43194444444444446
sarah sherman,5,12,,2,2,0,0.3007575757575758
jane doe,26,943,,1,1,0,0.3833333333333333
will ferrell,49,17197,,1,1,0,1.0
de la ghetto,79,7432092,"reggaeton,reggaeton flow,trap latino,urbano latino",1,0,1,-0.15
autopsy,33,117338,"black metal,brutal death metal,death metal,deathgrind,grindcore,metal,technical death metal",2,0,1,-0.7000000000000001
grace gaustad,13,506,,1,1,0,0.45
todd rundgren,54,373591,"art rock,country rock,folk rock,mellow gold,philly soul,power pop,singer-songwriter,soft rock,zolo",2,2,0,0.36818181818181817
faison,0,33,,1,1,0,0.22999999999999998
lex nour,0,18,,1,0,0,0.0
nicole scherzinger,64,2409782,"dance pop,pop,post-teen pop",7,4,1,0.14511295995670997
tamara lindeman,0,3,,1,0,0,0.0
charli xcx,87,4567659,"art pop,candy pop,metropopolis,pop,uk pop",4,1,1,0.02329545454545455
ziggy katz,17,21319,,1,1,0,0.21996753246753248
leon,26,357,,2,2,0,0.3840909090909091
taupin,6,5,,1,0,1,-0.08333333333333333
nai barghouti,40,23219,palestinian alternative,1,1,0,0.4454545454545455
nick lowe,49,116366,"power pop,pub rock,singer-songwriter",2,2,0,0.24523809523809526
allison russell,52,105775,"black americana,folk",8,5,1,0.26998106060606064
suki waterhouse,72,922328,indie pop,4,4,0,0.5033874458874459
eisa davis,5,504,,1,1,0,0.22083333333333333
ryan castro,82,3336479,"reggaeton,trap colombiano,trap latino,urbano latino",3,3,0,0.4454545454545455
gunna,88,8505248,"atl hip hop,melodic rap,rap,trap",17,11,4,0.12061370002546473
phil spector,33,29338,brill building pop,1,1,0,0.8
mick jones,51,2805,album rock,1,1,0,0.125
glanville,0,11,,1,0,1,-0.15000000000000002
alex lifeson,23,14419,,1,1,0,0.04545454545454545
soundcloud,0,1600,,1,0,1,-0.5095238095238095
ni'jah,31,9403,,1,1,0,0.4753246753246753
kirby,60,238297,"alternative r&b,indie triste",1,1,0,0.4753246753246753
del water gap,63,231560,"deep new americana,indie pop,pov: indie",2,2,0,0.17873376623376624
